Genome ID	Score	Genome Name
205922.3	543	Pseudomonas fluorescens PfO-1

205922.5	528	Pseudomonas fluorescens Pf0-1

1144321.3	422	Pseudomonas sp. GM102

1144324.3	412	Pseudomonas sp. GM18

220664.3	404	Pseudomonas fluorescens Pf-5

1144338.3	401	Pseudomonas sp. GM79

1144332.3	394	Pseudomonas sp. GM50

220664.5	392	Pseudomonas fluorescens Pf-5

1038923.3	381	Pseudomonas fluorescens Q8r1-96

1144333.3	362	Pseudomonas sp. GM55

1144330.3	361	Pseudomonas sp. GM48

216595.1	335	Pseudomonas fluorescens SBW25

1038922.3	335	Pseudomonas fluorescens Q2-87

1144335.3	330	Pseudomonas sp. GM67

1144334.3	329	Pseudomonas sp. GM60

1147786.5	325	Pseudomonas mandelii JR-1

216595.4	324	Pseudomonas fluorescens SBW25

1144329.3	322	Pseudomonas sp. GM33

1144708.3	315	Pseudomonas sp. GM41(2012)

1037915.3	314	Pseudomonas chlororaphis O6

1125977.3	310	Pseudomonas sp. PAMC 25886

1144336.3	302	Pseudomonas sp. GM74

1038921.4	301	Pseudomonas chlororaphis subsp. aureofaciens 30-84

1037911.3	290	Pseudomonas fluorescens A506

1114970.3	285	Pseudomonas fluorescens F113

1144331.3	282	Pseudomonas sp. GM49

1038924.3	279	Pseudomonas fluorescens SS101

1144337.3	276	Pseudomonas sp. GM78

1207075.3	266	Pseudomonas sp. UW4

