Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Competence protein F homolog, phosphoribosyltransferase domain	fig|6666666.707976.peg.4917
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin operon repressor	fig|6666666.707976.peg.4836
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.707976.peg.5480
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.707976.peg.4836
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.707976.peg.4914
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.707976.peg.4911
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthesis protein BioH	fig|6666666.707976.peg.4913
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|6666666.707976.peg.575, fig|6666666.707976.peg.1052, fig|6666666.707976.peg.2427, fig|6666666.707976.peg.3391, fig|6666666.707976.peg.3738, fig|6666666.707976.peg.3739
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthase (EC 2.8.1.6)	fig|6666666.707976.peg.4915
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	Biotin synthesis protein BioC	fig|6666666.707976.peg.4912
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|6666666.707976.peg.428, fig|6666666.707976.peg.2363, fig|6666666.707976.peg.2416, fig|6666666.707976.peg.2919, fig|6666666.707976.peg.2957, fig|6666666.707976.peg.3308, fig|6666666.707976.peg.3674, fig|6666666.707976.peg.5188
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	fig|6666666.707976.peg.5916
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin synthesis cluster	ATPase component BioM of energizing module of biotin ECF transporter	fig|6666666.707976.peg.2064
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|6666666.707976.peg.4836
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.707976.peg.5480
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.707976.peg.4836
